name,description,min_weight,max_weight,family_score,children_score,other_dog_score,shedding_score,grooming_score,drooling_score,stranger_score,playfulness_score,protective_score,adaptability_score,trainability_score,energy_score,barking_score,mental_stim_score
Komondor,"A powerfully large Hungarian flock guardian covered in profuse white cords from head to tail, the Komondor is among the worlds most recognizable breeds. The independent and protective Kom requires a firm, experienced hand at training. Our Hungarian-language tip of the day: The plural of Komondor is Komondorok. Now, lets take a look at the dog. What we see is a large and powerful guardian covered in profuse white cords. A big male can stand more than 27.5 inches and weigh over 100 pounds, with heavy bone, a deep chest, and lots of muscle. Despite their brawn Komondorok are agile and light-footed, and move with long strides. With their unique look, its impossible to mistake Koms for anything else.",80,100,5,3,2,1,4,2,3,3,5,3,4,3,3,3
Kromfohrlander,"The Kromfohrlander is a medium-sized companion breed that is sensitive, loving and loyal to its owners. He has a distinctive smile and will sneeze to greet you. Pronunciation of the breed is krome-for-lahn-dair.The Kromfohrlander is a very intelligent, funny, agile dog which loves to climb and jump and easily excels at agility and dog-trick training but can be fussy with food. They come in two coat types: wirehaired (with beard) and smooth haired (smooth face with no beard and beautiful, long, soft hair). The breeds nickname in North America is Kromi (krome-ee). The Kromfohrlander was bred to be a companion only, retains very little hunting instinct (despite its terrier heritage), and is often long-lived (17-18 years old). He is good with children and family and tends to be a one-person dog. He is very attached to his owner, will not run away, and is first to alert to strangers.",20,35,5,4,3,2,1,1,4,4,3,4,4,4,3,3
Kuvasz,"The snow-white Kuvasz is Hungarys majestic guardian of flocks and companion of kings. A working dog of impressive size and strength, the imposing and thickly coated Kuvasz is a beautiful, smart, profoundly loyal, but challenging breed.Imposing, impressive, majestic, massive, mighty, pick the adjective you like best, they all apply to the Kuvasz (pronounced KOO-vahz; the plural is Kuvaszok, pronounced KOO-vah-sock). This snow-white livestock guardian of luxuriant coat can stand as high as 30 inches at the shoulder, and weigh between 70 and 110 pounds. Despite their size and strength, Kuvs are quick-moving, nimble-footed protectors when meeting a threat. The breeds fans say that the elegantly proportioned head is considered to be the most beautiful part of the Kuvasz.",70,115,5,3,3,3,2,2,3,3,5,4,5,3,3,3
Labrador Retriever,"The sweet-faced, lovable Labrador Retriever is Americas most popular dog breed. Labs are friendly, outgoing, and high-spirited companions who have more than enough affection to go around for a family looking for a medium-to-large dog. The sturdy, well-balanced Labrador Retriever can, depending on the sex, stand from 21.5 to 24.5 inches at the shoulder and weigh between 55 to 80 pounds. The dense, hard coat comes in yellow, black, and a luscious chocolate. The head is wide, the eyes glimmer with kindliness, and the thick, tapering otter tail seems to be forever signaling the breeds innate eagerness. Labs are famously friendly. They are companionable housemates who bond with the whole family, and they socialize well with neighbor dogs and humans alike. But dont mistake his easygoing personality for low energy: The Lab is an enthusiastic athlete that requires lots of exercise, like swimming and marathon games of fetch, to keep physically and mentally fit.",55,80,5,5,5,4,2,2,5,5,3,5,5,5,3,4
Lagotto Romagnolo,"The Lagotto Romagnolo, Italys adorable truffle dog, sports a curly coat and lavish facial furnishings. Despite their plush-toy looks, Lagotti are durable workers of excellent nose who root out truffles, a dainty and pricey delicacy.Italians have a word for it: carino. In English, we say cute. In any language, this breed is totally endearing. The Lagotto Romagnolo (plural: Lagotti Romagnoli) is known for wooly curls that cover the body head to tail, crowned by a lavish beard, eyebrows, and whiskers. Lagotti stand under 20 inches and weigh no more than 35 pounds. But dont be fooled by their teddy-bear looks, these are rugged workers of true strength and endurance. The breeds trademark curls feel and behave more like human hair than fur.",24,35,5,3,5,1,2,2,4,4,3,4,4,4,2,4
Lakeland Terrier,"A bold, zesty big dog in a small package, the Lakeland Terrier, named for the Lake District of his native England, was once a farmers dog bred to work in packs on sheep-stealing foxes. The Lakies coat is hard, wiry, and low-shedding.Square and sturdy Lakelands, standing less than 15 inches at the shoulder and weighing about 17 pounds, are small dogs. But dont tell them that. With their cock-of-the-walk swagger, Lakelands personify the old dog-lovers cliché a big dog in a small package. They come in several colors; some have a sporty saddle mark on the back. With folded V-shaped ears, a straight front, rectangular head, and a mischievous twinkle in their eye, Lakelands are the blueprint of a long-legged British terrier.",14,17,5,3,3,2,2,1,3,4,3,4,3,3,3,4
Lancashire Heeler,"The Lancashire Heeler is a medium to high energy dog. Intelligent, alert and friendly, they are quick to learn new tasks. A sturdy little dog with a short, weather-resistant coat of black and tan or liver and tan, they are affectionate with their owners, always happy, talkative and always ready for a walk. Their small size is what gives them their charm.Small, powerful, sturdily built, alert and an energetic worker, the Lancashire Heeler works cattle but has terrier instincts when rabbiting and ratting. They have a unique characteristic called the Heeler Smile; when content, Heelers have been known to draw back their lips in an effort that emulates a human smile. In 2003, the breed was placed on the Endangered Breeds list of The Kennel Club, U.K, due to the small number of dogs composing the gene pool and the risk of several inherited diseases. ",9,17,5,5,5,3,1,1,4,4,3,4,4,4,4,4
Lapponian Herder,"The Lapponian Herder is a medium-sized dog with a medium coat, making them easy to maintain and perfect for any experienced dog owner. They are a wonderful, rounded, diversified dog breed ready to problem solve any task given to them. They can fit into most living environments as long as they are given jobs to do. This breed comes in many colors including grey-brown, black often with lighter undercoats, and white or tan markings. They are aloof with strangers but love their people.The Lapponian Herder is an independent, fun breed. They are very intelligent and generally eager to please. As a high-energy herding breed, they excel in many other dog sports besides herding, such as companion events. Its love of hard work makes it a wonderful breed in any event that is competitive and fun. Early socialization is important because of their herding mentality and they thrive when they have a job to do. Though eager to please, the Lapponian Herder is very vocal and often barks while working. ",70,,5,3,3,3,2,2,3,3,4,4,4,4,4,4
Leonberger,"The Leonberger is a lush-coated giant of German origin. They have a gentle nature and serene patience and they relish the companionship of the whole family. A huge and powerful dog, yes, but the Leonberger is also known for his aristocratic grace and elegance. A male can stand over 31 inches at the shoulder and weigh as much as a full-grown human. Females run smaller but are still a whole lot of dog. Breed hallmarks include a medium-long waterproof coat, lush triangular ears, a bushy tail, and a black facemask that frames kindly dark-brown eyes. A dramatic feature of the males coat is the lion-like mane around the neck and chest. A well-built Leo moves with an easy, elastic gait. A Leo is friendly but nobodys fool. As watchdogs and all-around workers, they exhibit intelligence and sound judgment. Leos require lots of brushing, ample room for romping, and unlimited love.",90,170,5,5,3,4,4,3,5,3,4,4,5,3,3,4
Lhasa Apso,"The lavishly coated Lhasa Apso is a thousand-year-old breed who served as sentinels at palaces and monasteries isolated high in the Himalayas. Smart, confident, and complex, Lhasas are family comedians but regally aloof with strangers.Standing less than a foot high at the shoulder, Lhasas are small but hardy dogs of aristocratic bearing. Theyre famous for a floor-length, flat-hanging coat, parted in the middle and draping each side of the body. A feathery tail curls over the back in the distinct manner of Tibetan breeds. The breeds fans say the dark, oval-shaped eyes peeping through lavish facial hair are the windows of a Lhasas merry soul. The complete picture is unmistakably Asian: exotic, elegant, and serenely well balanced.",12,18,5,3,3,1,3,1,3,3,5,5,3,3,3,3
L�wchen,"A companion dog whose name is German for little lion, the Löwchen has been a popular pet among Continental Europeans for more than 500 years. The portable, non-shedding Löwchen is said to be affectionate, lively, and brave as a lion. Small dogs with enormous heart, LÃ¶wchen (the same singular or plural) stand a bit over a foot tall at the shoulder. The coat is traditionally kept in a lion clip, in which most of the hindquarters and tail are clipped down close to the skin. The overall effect is that of a mini lion, with a full mane and plumed tail. The coat comes in several colors and color combinations. Beneath the coat is a dog thats strong and sturdy, but elegant and artfully balanced.",15,15,5,5,3,2,2,1,3,4,4,4,4,3,3,3
Maltese,"The tiny Maltese, Ye Ancient Dogge of Malta, has been sitting in the lap of luxury since the Bible was a work in progress. Famous for their show-stopping, floor-length coat, Maltese are playful, charming, and adaptable toy companions.Maltese are affectionate toy dogs weighing less than seven pounds, covered by a long, straight, silky coat. Beneath the all-white mantle is a compact body moving with a smooth and effortless gait. The overall picture depicts free-flowing elegance and balance. The irresistible Maltese face with its big, dark eyes and black gumdrop nose can conquer the most jaded sensibility.     Despite their aristocratic bearing, Maltese are hardy and adaptable pets. They make alert watchdogs who are fearless in a charming toy-dog way, and they are game little athletes on the agility course. Maltese are low-shedding, long-lived, and happy to make new friends of all ages. Sometimes stubborn and willful, they respond well to rewards-based training.",5,7,5,3,3,1,4,1,3,3,4,4,3,3,3,3
Manchester Terrier (Standard),"The Manchester Terrier is named after the English city where it was first bred. Sleek, racy dogs who possess a terriers ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless rat terrier. These racy dogs come in two size varieties: Standard (not exceeding 22 pounds) and Toy (not exceeding 12 pounds). All Manchesters are similar in temperament, body type and athletic ability despite differences in size. Theyre easily recognized by a tight coat of rich mahogany tan and jet black. The head is long and wedge-shaped; tan spots above each eye point up a watchful expression. Manchesters can motor, running with good reach in front and propulsive rear drive powered by a muscular caboose.",12,22,5,4,3,2,2,1,3,4,4,4,4,4,4,3
Manchester Terrier (Toy),"The Manchester Terrier is named after the English city where it was first bred. Sleek, racy dogs who possess a terriers ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless rat terrier. These racy dogs come in two size varieties: Toy (not exceeding 12 pounds) andStandard(not exceeding 22 pounds). Manchesters combine the streamlined grace of a small coursing hound and the instincts of a fearless rat terrier. These racy little dogs come in two size varieties: Toy (not exceeding 12 pounds) and Standard (not exceeding 22 pounds). All Manchesters are similar in temperament, body type and athletic ability despite differences in size. Theyre easily recognized by a tight coat of rich mahogany tan and jet black. The head is long and wedge-shaped; tan spots above each eye point up a watchful expression. Manchesters can motor, running with good reach in front and propulsive rear drive powered by a muscular caboose.",12,12,5,4,3,2,2,1,3,4,4,4,4,4,4,3
Mastiff,"The colossal Mastiff belongs to a canine clan as ancient as civilization itself. A massive, heavy-boned dog of courage and prodigious strength, the Mastiff is docile and dignified but also a formidable protector of those they hold dear. For the uninitiated, a face-to-face encounter with these black-masked giants can be startling. A male stands at least 30 inches at the shoulder and can outweigh many a full-grown man. The rectangular body is deep and thickly muscled, covered by a short double coat of fawn, apricot, or brindle stripes. The head is broad and massive, and a wrinkled forehead accentuates an alert, kindly expression. Mastiffs are patient, lovable companions and guardians who take best to gentle training. Eternally loyal Mastiffs are protective of family, and a natural wariness of strangers makes early training and socialization essential. Mastiffs are magnificent pets, but acquiring a powerful giant-breed dog is commitment not to be taken lightly.",120,230,5,5,3,3,1,4,3,3,5,4,3,3,1,3
Miniature American Shepherd,"The Miniature American Shepherd resembles a small Australian Shepherd. True herders in spite of their compact size, Minis are bright, self-motivated workers and endearingly loyal and lively companion dogs who have an affinity for horses. The Miniature American Shepherd shares many physical traits with its forebear the Australian Shepherdonly on a smaller scale. Females stand between 13 and 17 inches at the shoulder; males range from 14 to 18 inches. Despite their size, Minis are every inch a true herding dog: energetic, versatile, rugged, and extremely bright. The eye-catching coat comes in black, blue merle, red, and red merle. (The merle will exhibit in any amount marbling, flecks, or blotches.) Minis move with the smooth and agile step of a dog built for hard work on punishing terrain.",20,40,5,5,5,3,3,2,3,4,3,4,5,5,3,5
Miniature Bull Terrier,"In most every way the Miniature Bull Terrier is a Bull Terrier, only smaller. These upbeat, mischievous dogs come equipped with terrier fire and fearlessness. If ever a dog could claim the title Clown Prince of Dogdom, its the Mini.Like the class clown or an adorable toddler, the Miniature Bull Terrier is full of mischief and high spirits. With square bodies and egg-shaped heads, no other breed looks quite like it. These small, muscular terriers are strong, active, fearless, and endlessly entertaining. As fun as he is, its not a good idea to let your Miniature Bull Terrier puppy get away with too many high jinxes. Hell be at his absolute best with early socialization and patient training; you couldnt ask for a more amusing companion.",18,28,5,3,3,2,1,2,3,4,4,4,3,4,5,4
Miniature Pinscher,"The leggy Miniature Pinscher is known to fans as the King of Toys. This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping hackney gait. Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, big dog personality. A distinguishing characteristic is the Min Pins high-stepping hackney gait, reminiscent of a hackney horse at the trot.",8,10,5,3,4,3,1,1,3,4,5,4,3,5,5,5
Miniature Schnauzer,"The Miniature Schnauzer, the smallest of the three Schnauzer breeds, is a generally healthy, long-lived, and low-shedding companion. Add an outgoing personality, a portable size, and sporty good looks, and youve got an ideal family dog. Stocky, robust little dogs standing 12 to 14 inches, Miniature Schnauzers were bred down from their larger cousins, Standard Schnauzers. The bushy beard and eyebrows give Minis a charming, human-like expression. The hard, wiry coat comes in three color patterns: salt and pepper, black and silver, and solid black. Created to be all-around farm dogs and ratters, they are tough, muscular, and fearless without being aggressive. The Miniature Schnauzer is a bright, friendly, trainable companion, small enough to adapt to apartment life but tireless enough to patrol acres of farmland. They get along well with other animals and kids. Minis are sturdy little guys and enjoy vigorous play. Home and family oriented, they make great watchdogs.",11,20,5,5,3,3,4,2,3,4,4,5,5,3,5,4
Mountain Cur,"The Mountain Cur is a hunting dog with a good treeing instinct. It is a very courageous fighter and extremely intelligent, doing whatever job its master desires. The dogs were a crucial part of the cultures of early pioneers, settlers, and homesteaders.The Mountain Cur is a fast, hard hunter that runs track with its head in the air. He can be open, semi-open, or silent on track and has a clear bark that can be heard a long distance. They will circle and drift on a cold track if a hot one is not available until they locate a hot track. They are courageous fighters when required and extremely intelligent, with strong treeing instincts, and can easily be trained to leave unwanted game. They respond best to training with a lot of human contact, and in addition to hunting, make great companions and watch dogs. ",30,60,3,3,3,3,3,1,1,5,5,3,5,5,5,5
Mudi,"The Mudi is an extremely versatile, intelligent, alert, agile, all-purpose Hungarian farm dog. His courage is useful for working the most stubborn livestock. The breed is a loyal protector of property and family members without being overly aggressive.The Mudi (pronounced moodie) is a medium-sized herding dog from Hungary which has been in existence since the 19th century. It is said the Mudi evolved naturally from crosses of the Puli, Pumi and German Spitz breeds. Today, the Mudi, though very rare, is seen as an active, intelligent, biddable working breed. It is estimated there are no more than a few thousand Mudi worldwide, with the greatest numbers being in Hungary, followed by Finland, and then even scarcer throughout Europe, the U.S, and Canada. The Mudi excels at agility, obedience, and flyball, as well as other dog sports. He is a true working breed and shines when herding both cattle and sheep, and has found fame as a search and rescue dog in both Finland and the U.S. ",18,29,5,3,3,2,1,2,3,5,4,4,5,5,4,4
Neapolitan Mastiff,"The Neapolitan Mastiff is a huge, powerful guarder whose astounding appearance has intimidated intruders since the days of ancient Rome. Wary with strangers, the profusely wrinkled Mastino is sweet, placid, and steady among loved ones. Unless youve been to Jurassic Park, youve never seen anything like a Mastino. These majestic guardians of startling appearance are massive, powerful dogs. The U.S. Neapolitan Mastiff Club describes their dogs head as astoundingand give them credit for hitting upon just the right adjective. The profuse hanging wrinkles and folds, and pendulous lips, make a Mastino look like a marzipan Mastiff thats been out in the sun too long. And yet, the breeds inner dignity and nobility can only be described as beautiful.",110,150,3,3,3,3,2,5,3,2,5,3,3,2,1,3
Nederlandse Kooikerhondje,"The Nederlandse Kooikerhondje is lively, agile, self-confident, good-natured and alert. The breed is faithful, easy-going and friendly in the home. Outdoors he is a true sporting dog being keen, swift, tough, attentive and energetic. With sufficient perseverance and stamina, he enjoys working and does so with a cheerful character.The Kooikerhondje (Koi-ker-hond-yuh)the little white and orange dog with a big heart is a sporty, eye-catching fellow with a silky all-weather coat of white with red patches. They are instantly recognizable thanks to their large, black-tipped ears and the richly feathered tail they wag proudly. The breed has the sturdy bone structure expected of a serious hunter, but the overall picture is that of a harmoniously built dog of smooth, flowing contours and springy gait. The Nederlandse Kooikerhondje Club of the United States has served as the AKC Parent Club to represent the Kooikerhondje since April 2014.",20,30,5,3,3,3,2,2,4,3,3,4,5,4,3,4
Newfoundland,"The massive Newfoundland is a strikingly large, powerful working dog of heavy bone and dignified bearing. The sweet-tempered Newfie is a famously good companion and has earned a reputation as a patient and watchful nanny dog for kids. A male Newfoundland can weigh up to 150 pounds and stand 28 inches at the shoulder; females typically go 100 to 120 pounds. The Newf head is majestic, the expression soft and soulful. The outer coat is flat and coarse. Colors are gray, brown, black, and a black-and-white coat named for artist Sir Edwin Landseer, who popularized the look in his paintings. The Newfie breed standard says that a sweet temperament is the most important single characteristic of the breed. The Newfs sterling character is expressed in their affinity for kids. Trusting and trainable, Newfs respond well to gentle guidance. These noble giants are among the worlds biggest dogs, and acquiring a pet that could outweigh you comes with obvious challenges.",100,150,5,5,5,3,2,5,5,3,5,4,3,3,1,3
Norfolk Terrier,"Norfolk Terriers are little, cute, and loyal, and they will gladly curl up in your lap, but dont dare call them lapdogs. Norfolks, despite their toyish qualities, are genuine terriersfeisty, confident, sturdy, and game for adventure. Norfolk Terriers are among the smallest working terriers, standing no higher than 10 inches at the shoulder. The coat is hard, wiry, and straight. They share many traits with their close cousins, Norwich Terriers. To tell them apart, look at the ears: The Norwich has erect, pointed ears; Norfolk ears are neatly folded over. Bred to work in packs, Norfolks are more gregarious than a typical terrier, but they have plenty of the old terrier pep. Few Norfolks these days earn their living hunting rodents, but a good one will fearlessly do so when given a chance. Norfolks bond closely, sometimes jealously, with their owners and make nice watchdogs. They have a reputation as a good traveler: portable, adaptable, and up for anything.",11,12,5,5,3,3,2,1,5,4,4,4,3,4,4,4
Norrbottenspets,"The Norrbottenspets is a small, slightly rectangular spitzdog, well poised, with sinewy and well-developed muscles. Alert with head carried high, they have a fearless attitude and are extremely agile. They are calm, keen, and attentive, with a kind disposition.Nobs arent large dogs (a big male stands a shade below 20 inches) but their tough, sinewy bodies are built to withstand punishing terrain and harsh climates. They are a small-sized hunting dog of Spitz-type, which was thought to be extinct but survived as a farm and hunting dog in the Northern parts of Sweden and Finland. To be able to navigate the rough terrain and climate of the Scandinavian forests and hold large dangerous game, like moose, Norrbottenspets evolved to be extremely agile, rugged, and weatherproof with a fearless attitude, while at the same time kind and affectionate companions at home. They exhibit no extremes in physical characteristics because they must do all things well.",20,30,5,3,3,3,2,1,3,3,3,4,4,4,3,3
Norwegian Buhund,"The densely coated Nowegian Buhund, a Nordic spitz-type closely associated with the Vikings, is a medium-sized cold-weather worker adept at herding and guarding. As family dogs, Buhunds are smart, affectionate, and steadfastly devoted. The Buhund, a prototypical spitz, provides a good opportunity to explain the term. Spitz are cold-weather breeds characterized by a dense coat, a tail curved tightly over the back, a wedge-shaped head, and erect, pointed ears (spitz means pointed in ancient German). They can be pint-sized like Pomeranians, mighty like Malamutes, or mid-sized like the lithe but sturdy Buhund. Males can stand 18.5 inches high and weight up to 40 pounds. Coat colors are wheaten or black.",26,40,5,3,3,3,2,1,3,3,4,4,3,4,4,4
Norwegian Elkhound,"The Norwegian Elkhound is a robust spitz type known for his lush silver-gray coat and dignified but friendly demeanor. The durable Elkhound is among Europes oldest dogs. They sailed with the Vikings and figure in Norse art and legend. Norwegian Elkhounds are hardy, short-bodied dogs standing about 20 inches at the shoulder. They have a dense silver-gray coat and a tail curling tightly over the back. The deep chest, sturdy legs, and muscular thighs belong to a dog built for an honest days work. The eyes are a dark brown and the ears mobile and erect. Overall, an Elkhound is the picture of an alert and steadfast dog of the north. Elkhounds are famously fine companions and intelligent watchdogs. Agility and herding trials are good outlets for their natural athleticism and eagerness. Reserved until introductions are made, an Elkhound is a trustworthy friend ever after. These strong, confident dogs are truly sensitive souls, with a dash of houndy independence.",48,55,5,3,3,3,2,2,4,4,5,4,4,4,4,4
Norwegian Lundehund,"From Norways rocky island of Vaeroy, the uniquely constructed Norwegian Lundehund is the only dog breed created for the job of puffin hunting. With puffins now a protected species, todays Lundehund is a friendly, athletic companion.At a glance, Lundehunds seem a typical northern breed: A spitz type with triangular ears, curving tail, and a dense double coat. But a closer look reveals several unique traits. They have feet with at least six fully functioning toes and extra paw pads, an elastic neck that can crane back so the head touches the spine, ears that fold shut, and flexible shoulders that allow forelegs to extend to the side, perpendicular to the body. This last anomaly produces the breeds distinctive rotary gait.",20,30,3,3,3,3,2,1,3,3,3,3,3,3,3,3
Norwich Terrier,"Norwich Terriers are plucky little earthdogs named for their hometown in England. The old cliche a big dog in a small package was coined for breeds like the Norwich, who can be oblivious to the fact that they are just 10 inches tall.Standing no more than 10 inches at the shoulder and weighing about 12 pounds, Norwich are among the smallest working terriers. Beneath the hard, wiry coat is a stocky, substantial dog. Norwiches are toy-sized but are not satin-pillow dogs they were originally bred as tough and fearless ratters. They are distinguished from their doggy doppelganger, the Norfolk Terrier, by their erect, pointed ears.     Happy-go-lucky, fearless, and sometimes even bossy, Norwiches are energetic enough to play fetch all day, but affectionate enough to enjoy hours of lap time with their favorite human. Short, positive training sessions work best with this clever but sometimes stubborn breed. Three words convey the overall dog: cute, cuter, and cutest.",12,12,5,5,3,3,2,1,5,4,4,4,3,4,4,4
Nova Scotia Duck Tolling Retriever,"The smallest of the AKCs retrievers, the Nova Scotia Duck Tolling Retriever is intelligent, affectionate, and eager to please. Play fetch with a tireless Toller until your right arm falls off, and he will ask you to throw left-handed. The little gundog with the big name is the smallest AKC retriever, standing ideally 18 or 19 inches at the shoulder. The Tollers trademark is a coat of stunning crimson, ranging from golden red to a dark coppery color, with white markings. Strong and agile, Tollers are medium dogs: medium in size, bone, and coat length. The almond-shaped eyes project an alert expression. Tollers are upbeat athletes who require outlets for their boundless vigor: hunting, hiking, camping, and, of course, swimming (for which they are ideally suited, down to their webbed feet). Tollers are smart, handsome, affectionate companions, but these red tornadoes can be recommended only to those with enough time and energy to keep them usefully occupied.",35,50,5,5,4,3,2,2,3,5,3,4,5,5,2,4
Old English Sheepdog,"The Old English Sheepdog is the archetypical shaggy dog, famous for his profuse coat and peak-a-boo hairdo, a distinctive bear-like gait, and a mellow, agreeable nature. The OES is a big, agile dog who enjoys exploring and a good romp.Beneath the Old English Sheepdogs profuse double coat is a muscular and compact drover, with plenty of bone and a big rump, standing 21 or 22 inches at the shoulder. Their eyes (when you can see them) are dark brown, or blue, or one of each. The OES breed standard says the skull is capacious and rather squarely formed, giving plenty of room for brain power. OES move with a bear-like shuffle but are famous for their nimbleness afoot. Regular exercise is required for these strong, able-bodied workers. Equally famed are their many fine housedog qualities: watchfulness, courage, kindliness, and intelligence. Great with children, OES make patient, protective playmates. They are sensible watchdogs known for a loud, ringing bark.",60,100,5,5,3,3,4,3,3,4,4,4,4,3,3,4
Otterhound,"Big, boisterous, and affectionate, the Otterhound was bred in medieval England for the now-outlawed activity of otter hunting. This scarce breed is known for his dense shaggy coat, webbed feet, acute sense of smell, and affinity for swimming. These big, bouncy hounds were ideally suited for otter hunting. OHs are built to be expert swimmers, from the top of their rough, waterproof coat to the bottom of their big webbed feet. A broad chest and powerful shoulders allow them to swim all day without tiring. Their large black nose is amazingly sensitive and could follow an otters underwater scent trail over great distances. And the OHs size and strength enabled them to take on a sharp-toothed, razor-clawed otter that might weigh 20 pounds.",80,115,5,3,3,2,2,3,4,3,3,4,4,3,5,3
Papillon,"The quick, curious Papillon is a toy dog of singular beauty and upbeat athleticism. Despite his refined appearance, the Pap is truly a doggy dog blessed with a hardy constitution. Papillon fanciers describe their breed as happy, alert, and friendly. A tiny dog, measuring 8 to 11 inches at the shoulder, you can still spot a Papillon a block away thanks to the large, wing-shaped ears that give the breed its name (papillon is French for butterfly). Some Paps have erect ears; in others, known as the Phalene type, the ears are down. Paps are dainty and elegant, with a plumed tail, and a long, silky coat of several color combinations, the base color being white. More robust than they look, Paps are little dogs for all seasons and reasons. They thrive in warm or cool climates, in town or country, and are eager to join family fun. They are excellent agility dogs and are consistent winners at the sports highest levels; less ambitious owners can train them to do all kinds of tricks.",5,10,5,5,3,3,2,1,5,5,4,5,5,4,5,5
Parson Russell Terrier,"The Parson Russell Terrier is a bold and clever terrier, swift enough to run with horses and fearless enough to dig in and flush a fox from his lair. Independent problem solvers, PRTs can have their own ideas on how to go about things. PRTs stand 1215 inches at the shoulder, and weigh 1317 pounds when in peak condition. Their intelligent expression, mostly white coat, and beautifully balanced body give PRTs the adorable looks of a plush toy come to life. But dont be fooled by all that cutenessPRTs are tough little guys built for Englands traditional sport of foxhunting. Theyre fast enough to follow the hounds and fearless enough to dig into the ground and flush a fox from his lair.",13,17,5,3,5,2,2,1,3,4,3,4,4,5,3,4
Pekingese,"The Pekingese, a compact toy companion of regal bearing and a distinctive rolling gait, is one of several breeds created for the ruling classes of ancient China. These are sophisticated dogs of undying loyalty and many subtle delights. Pekingese are compact, stocky toy dogs weighing up to 14 pounds. The coat is longest at the neck and shoulders, giving Pekes their famous lions mane. Coats come in various reds, from a golden-red to darker shades. The large, short-muzzled head is a wider-than-long envelope shaped rectangle, and the eyes are large, dark, and sparkly. A unique feature of Pekes is their effortless rolling gait. Pekes are charming, confident companions who develop a tight bond with their favorite human. Bred to live in palaces, they can be as serenely independent as the emperors who owned them. (Theyre opinionated, Peke people say.) Ever alert, they make good watchdogs. Pekes will tolerate kids but wont stand for a lot of roughhousing.",14,14,5,3,3,3,3,1,3,4,4,4,3,3,1,3
Pembroke Welsh Corgi,"Among the most agreeable of all small housedogs, the Pembroke Welsh Corgi is a strong, athletic, and lively little herder who is affectionate and companionable without being needy. They are one the worlds most popular herding breeds. At 10 to 12 inches at the shoulder and 27 to 30 pounds, a well-built male Pembroke presents a big dog in a small package. Short but powerful legs, muscular thighs, and a deep chest equip him for a hard days work. Built long and low, Pembrokes are surprisingly quick and agile. They can be red, sable, fawn, and black and tan, with or without white markings. The Pembroke is a bright, sensitive dog who enjoys play with his human family and responds well to training. As herders bred to move cattle, they are fearless and independent. They are vigilant watchdogs, with acute senses and a big dog bark. Families who can meet their bold but kindly Pembrokes need for activity and togetherness will never have a more loyal, loving pet.",22,31,5,3,4,4,2,1,4,4,5,4,4,4,4,4
Perro de Presa Canario,"The Perro de Presa Canario has a calm appearance and attentive expression. He is especially suited to guarding and traditionally used for herding cattle.A moderately large-sized molossoid, with a rectilinear profile and black mask, the Perro de Presa Canario is robust and well-proportioned. With a low, deep bark, he has a balanced temperament and is very self-confident. Obedient and docile with family members, he is very devoted to his master, but can be suspicious of strangers. When alert, his stance is firm and vigilant.",84,110,2,1,1,3,1,4,1,1,5,2,3,2,3,3
Peruvian Inca Orchid,"Agile, smart and swift, the Peruvian Inca Orchid is an elegant sighthound that developed in Peru. The breed can be hairless or coated, and comes in three sizes: small, medium and large. Lively and alert, these dogs can be very good hunters and do well in lure coursing, rally and agility. In the hairless variety, the skin can be of any color. In the coated variety, all colors are accepted including black, brown, gray, pink, tan and white.These affectionate companion dogs are essentially sighthounds (think Greyhounds and Whippets) and have the same elegant contours of their racy cousins. PIOs come in a range of sizes: the smallest might stand just short of 10 inches; the largest top out at nearly 26 inches. Their distinguishing feature is, of course, hairlessness. The delicate skin can be a solid color or spotted with unpigmented areas. Coated PIOs are in the minority, and the coated and hairless varieties can occur in the same littler. Going by his general conformation, it is an elegant and slim dog, whose aspect expresses speed, strength and harmony without ever appearing coarse. Another particular feature is that the dentition in the hairless variety is nearly always incomplete, associated with the congenital alopecia. Noble and affectionate at home with those close to him, he is at the same time lively and alert. He might be wary of strangers and is a good watch dog. The breed is loyal and protective of his family, but like all dogs, should be supervised around younger children. Caution should also be taken with small pets that may be seen as prey.",8.5,55,5,3,3,1,1,1,3,3,3,3,3,4,3,4
Petit Basset Griffon Vendéen,"The low-slung, shaggy-coated Petit Basset Griffon Vendéen is a vivacious French rabbit-hunting hound known for a happy demeanor and durable constitution. Bred to work in a pack, PBGVs enjoy company and do well with other dogs and kids.A loose translation of the name describes the dog well: Petit (small), Basset (low), Griffon (shaggy), Vendéen (from the Vendée region of France). Put it all together and you have a diminutive hound, standing 13 to 15 inches at the shoulder, with short but strong legs and a rough tousled coat, bred to hunt rabbits on the rugged west coast of France. Other distinctive features of these little extroverts are a proudly carried head, a saber tail, and a loud, houndy bark.",25,40,4,5,5,2,2,2,4,4,4,4,3,4,5,4
